Name,Brand,Rating,Vibe,Top Notes,Heart Notes,Base Notes,Main Accords,Color Association,Temperature,Smells Like...,Memory or Association,ChatGPT's Prediction,Official,Summary Verdict
🧬 Molecule 01 💠🌫️🌲,Escentric Molecules,,"Silence that hums. or a clean line on white paper.
It gives your scent wardrobe a rest note, a palette cleanser, and a way to wear scent without wearing “a fragrance.”

You won’t smell it and think, This is incredible. But you’ll catch yourself hours later thinking, I smell… kind of amazing in a way I can’t quite place.",Iso E Super (only note),Soft Grey 💨,Neutral,"Woody,musky,amber,velvety",Soft Grey 💨,Neutral,"WHAT IT SMELLS LIKE:

- 💨 Air through clean wood
- 🤍 Warm skin in a quiet room
- 🫧 Nothing, then something, then gone

Like the outline of a person you want to follow—not perfume, just presence.
",,"
📌 Key Facts:

- One single molecule: Iso E Super
- No top, heart, or base notes
- It smells slightly different on everyone
- More felt than smelled: You may not notice it much on yourself—but others might

👃 
What It Smells Like

- Dry, woody, musky—but translucent
- Airy, soft, modern—like cedar shavings + clean skin
- Like the vibe around a person, not a perfume on a person

🧠 
What You Might Think

“Wait, I can barely smell it… but I kind of love that.”

- You’ll likely appreciate:
    - The restraint – finally, a scent that’s not shouting
    - The texture – it’s like a halo or soft blur
    - The clarity – no fruit, no noise, no clutter
    - The versatility – you can wear it alone or layer under your other favorites to add air and smoothness
- You might also find:
    - It doesn’t satisfy if you want narrative or emotional arc
    - It’s too subtle if you want a scent you can track or follow
",,
🖤 Encre Noire 🌲🪵🌫️,Lalique,,"Cypress, vetiver","Cypress,vetiver",Black Ink and Forest Green 🖤🌲,Cool,"Woody,earthy,smoky,dark,inky",Black Ink and Forest Green 🖤🌲,Cool,"🖤 Encre Noire

WHAT IT SMELLS LIKE:

🌱 Damp vetiver roots pulled from black earth
🔥 Charcoal-dusted cedar and moss
🖋️ Ink spilled in a stone well
🌫️ Fog drifting across wet pavement at midnight
Earthy smoke from a mossy log


📚 Imagine a granite library lit by a single desk lamp 💡.
🔇 No music. Just the sound of pen scratching paper ✍️ and rain tapping the windows 🌧️.
🕯️ This is not a scent you wear—it’s a mood you disappear into.

Like a silent library made of stone and fog—haunting, elegant, and deeply internal.
",,What you’ll think: 'This smells like a wet forest at night. Like writing poetry in a cabin with no electricity.',,
🌿 Terre d’Hermès Eau de Toilette 🍊🪵🌞🌍,Hermès,,"Mineral dryness. Bitter orange, flint, dry vetiver, sunbaked wood.

This smells like crushed orange peels in a hot terracotta pot. The citrus is dry and bitter—not juicy—balanced by a chalky mineral note that smells like warm gravel. Vetiver brings grassy dryness, like stalks left out in the sun. Flint adds a subtle smoke—like striking a stone.

Not fruity. Not fresh. Not soft.

It’s earthy, masculine, and sharp-edged—like citrus trees growing from volcanic soil. Think linen shirts with dust on the cuffs. Smells like thinking hard in the heat.

Mineral citrus. Flint, dry orange peel, cracked vetiver roots.

This smells like the earth cracked open under the sun. Not a citrus cologne for the beach—but for the cultivated man who wears linen with dust on the cuffs.

It’s ancient and elemental—dry, wise, contemplative. Think rock and bark more than juice and zest. Philosophical but grounded.
Earthy, elemental, refined and grounded","Orange,grapefruit","citrus,woody,earthy,mineral",Burnt Orange & Clay 🧡🌍,"citrus,woody,earthy,mineral",Burnt Orange & Clay 🧡🌍,Warm,"Genre: Mineral Woody Citrus / Intellectual Classic
Released: 2006
Perfumer: Jean-Claude Ellena

👃 What It Smells Like

- Sun-baked orange peels
- Chalky mineral soil
- Vetiver roots and dry wood
- Hints of flint and citrus rind

Imagine: A cracked clay path through an orange grove at dusk—sun-warmed stones, bitter citrus in the air, and a philosopher’s journal on your lap.
","You’re in southern Italy at golden hour, walking through a grove of bitter orange trees planted in sunbaked soil. The air smells of warm gravel and dry leaves. Your sandals kick up dust, and your shirt smells faintly of citrus rind and woodsmoke. A scent that lingers like memory on weathered linen.

An old-world courtyard at golden hour. Terracotta pots, gravel underfoot, citrus trees casting long shadows. You run your fingers along a stone wall still warm from the sun.","🧠 What You Might Think
What You’ll Think: “Dry. Earthy. Elegant. Masculine in a weathered, elegant way.”
Why It Fits: You gravitate toward abstract naturalism—this is elemental and exact.
Why it works: The mineral and vetiver backbone grounds the bright citrus top. Smells like sun-warmed soil after rain.
Predicted Verdict: A future signature scent—timeless, mature, introspective.

✅ Pros

- Dry and mineral-heavy
- Natural, not sweet
- Intellectual gravitas

⚠️ Cons

- Some find the flint accord too sharp
- May feel overly serious on some days
","THE CREATION
Composed by Hermès perfumer Christine Nagel, Terre d’Hermès Eau de Parfum Intense reveals a richer, more intimate expression of the inner fire that connects man and Earth.

THE OLFACTORY NOTES
Deep and elemental, this woody fragrance fuses the radiance of fiery bergamot with the smoldering resonance of burning wood and the mineral intensity of lava stone.

THE OBJECT
Designed by Philippe Mouquet, the bottle evokes molten earth. Its lacquered sides are wrapped in a reddish-brown varnish that extends to the base, marked by the emblematic Hermès H. A matte black metal cap, reminiscent of lava stone, crowns the composition.

THE ETHICS
Designed to last, the 100 ml and 50 ml bottles are refillable with the 200 ml refill, sold separately. Crafted from glass and aluminum—two noble, largely recyclable materials—this object embodies both sustainability and refinement.

THE HERMÈS DETAIL
Inspired by a travel kit bottle from the Émile Hermès collection, the design features iconic Clou de Selle detailing, reflective metallic shoulders, and the House’s signature H engraved at the base.

Olfactory emotion: Warm, Sensual
Main raw materials: Fiery bergamot, Burning wood, Intense lava stone",
🧊 Terre d’Hermès Eau Givrée ❄️🍋🪵🧼,Hermès,,"Icy citrus. Lemon zest, cold vetiver, dry pepper, flint.

This smells like someone peeled a lemon over a steel sink. The opening is sharp and bitter—like biting into lemon rind—then flashes cold with a peppery edge. The vetiver here is smooth and cooling, almost mentholated. There’s a mineral dryness that keeps it serious and a touch soapy in the best way—like cold water over slate.

Not sweet. Not juicy. Not warm.

This is the most chilled of the Terre flankers. Clean, severe, confident. It smells like a sharp suit on a hot day.

Frosted flint. Bitter lemon rinds, shaved ice, peppered woods.

Imagine Terre d’Hermès flash-frozen and lit by a winter sun. This is all clean angles, sharp citrus, and elegant reserve. Cold but charismatic.

Not warm, not fuzzy—more like the scent of confidence cooling on the skin. Polished, streamlined, and slightly aloof.

Icy elegance, citrus snap, crystalline calm","Citron,timut pepper","citrus,aromatic,spicy,woody",Frosted White & Platinum ❄️🪞,"citrus,aromatic,spicy,woody",Frosted White & Platinum ❄️🪞,Cold,"Genre: Icy Citrus Woody / Frosted Minimalism
Released: 2022
Perfumer: Christine Nagel

👃 What It Smells Like

- Cracked frozen lemon
- Cool vetiver and pepper dust
- Metal shavings in ice water
- A glacier touched by sunlight
- Imagine citrus zest grating over crystal snow.

Imagine: A citrus grove caught in a snowstorm—lemons flash like suns behind ice-veined branches, the air so cold it rings.","A lemon sliced on a marble countertop in a room that’s just been aired out. Outside, the ground is covered in frost, but inside there’s clarity and calm. Your reflection glows faintly in a chrome espresso machine. You exhale, and the air is cold enough to catch it.

Slicing citron on a frosted morning balcony. The air is razor-sharp, and your hands are tingling. You sip something herbal and cold, watching steam rise off distant rooftops.","🧠 What You Might Think
What You’ll Think: “Sharp. Elegant. Like frozen citrus on top of slate.”
Why It Fits: It’s your kind of chill: bright, focused, not trying to seduce.
Predicted Verdict: Highly wearable. Your go-to when you want to feel clear and collected.

✅ Pros

- Ultra-clean and cool
- Zero sweetness
- Linear, elegant, and focused

⚠️ Cons

- Some may find it emotionally distant
- Better for daywear than nightwear

•	What you’ll think: “Like Terre d’Hermès through a frosted glass.”
•	Why it works: The signature mineral-vetiver DNA now has an invigorating citrus chill. Smells like sunrise on ice.","THE CREATION
Terre d’Hermès Eau Givrée explores a new olfactory frontier—where freshness meets strength in a dynamic interplay.

“An icy cloak fertilizes the earth, exalting it with new and vibrant strength.”
—Christine Nagel, Hermès perfumer

OLFACTORY NOTES
Terre d’Hermès Eau Givrée Eau de Parfum fuses the zesty energy of citron with the piercing freshness of juniper berry and the bold intensity of Timut pepper. This striking accord—like a breath of icy air—rests on the generous woody and mineral foundation that defines Terre d’Hermès.

THE OBJECT
Sleek and crystalline, the bottle seems sculpted from ice. Frosted glass and brushed aluminum conjure the image of frost settling over the earth. At the base, a discreet H pays tribute to the heritage of this now-iconic design.

ETHICS
Crafted to endure, the bottle is both refillable and sustainable—made from glass and aluminum, two fully recyclable materials. A thoughtful, responsible gesture built into the very essence of the object.

THE HERMÈS DETAIL
In the hand, the bottle reveals its layered elegance: the iconic Clou de Selle, gleaming metal shoulders that catch the light, and a design by Philippe Mouquet, inspired by a travel vanity case from the Émile Hermès collection.

Olfactory emotion: Fresh, Delicate
Main raw materials: Citron, Juniper berry, Timut pepper",
🌊 Eau des Merveilles Bleue ✨🌊🪨🌬️,Hermès,,"Salty freshness. Sea spray, mineral water, driftwood, pale woods.

This smells like the ocean—but not a tropical one. No coconut, no citrus. Just clean salt air and the smell of wet stone after a wave recedes. The opening has a tang of salt and crushed shells. The drydown softens into pale woods and a faint soapiness, like hotel towels dried in the sun.

Not creamy. Not floral. Not green.

It’s brisk, dry, and bracing. Like rinsing your hands in cold ocean water and drying them on sun-warmed rocks.

Oceanic minimalism. Salt air, wet stone, driftwood, mineral mist.

This smells like walking barefoot across smooth rocks at low tide. It opens with a bright mineral bite—like sea spray hitting dry concrete—followed by a cool, salty transparency. There’s no sweetness, no citrus, no floral note. Just clean water, crushed shells, and pale driftwood bleached by the sun.

Not beachy. Not tropical. No sunscreen, no melon, no cream.

This is the scent of wind off the ocean during a gray morning. Cool, dry, and clean in a way that feels almost antiseptic. A marine scent for someone who hates aquatic colognes.

It’s like a scent installation in a modern museum: cold, glassy, and slightly unearthly.

Sparkling, marine, otherworldly","Sea spray,mineral notes","marine,salty,woody,fresh",Iridescent Blue-Grey 🌫️,"marine,salty,woody,fresh",Iridescent Blue-Grey 🌫️,Cold,"Genre: Marine Mineral / Aquatic Abstraction
Released: 2016
Perfumer: Christine Nagel

👃 What It Smells Like

- Salt crust on sun-bleached driftwood
- Sea foam and minerals
- A gust of ocean wind carrying stardust
- Translucent freshness with a mineral bite
- Imagine moonlight on the surf, foamy tide swirling over pebbles.

Imagine: A salt-swept pier at midnight, waves crashing below as you walk alone—silver stars above, crushed shells beneath your boots.","A night swim in cool, starlit water. You float on your back, the constellations above mirrored by the shimmer below. Salty, clean, endless—like breathing in the cosmos.

A solo beach walk under a silver morning sky. The tide has just gone out, leaving driftwood and frothy sea foam across smooth stones. You bend to pick up a shell and the wind carries the cold scent of salt, wet rock, and clean water. No one else is around—just you and the rhythm of the ocean breathing out.","
🧠 What You Might Think
What You’ll Think: “That’s different. Sparkly but salty.”
Why It Fits: You admire conceptual, transparent, non-perfume perfumes.
Predicted Verdict: A niche favorite you’ll reach for in dreamier, more lucid moods.

✅ Pros

- Ethereal and oceanic
- No fruit, no powder
- Conceptual and meditative

⚠️ Cons

- May feel too subtle for some occasions
- Not built for warmth or intimacy

•	What you’ll think: “Airy and oceanic, like stardust on waves.”
•	Why it works: This is not sweet or floral—just a crystalline shimmer of sea breeze over stone.","THE STORY BEHIND

Since 2004, Eau des Merveilles has been a key that unlocks the world of Hermès wonders. From innocence to fantasy, from childhood dreams to the essence of femininity, it invites us into a realm where the extraordinary is illuminated.

Year after year, the collection carries us on a breeze of poetic enchantment. Encased in round bottles reminiscent of magnifying glasses, these fragrances possess a kind of magic—revealing the world from new, marvelous perspectives. A key to wonder itself. The origin of stars in broad daylight.

THE CREATION
In 2017, Hermès perfumer Christine Nagel introduced Eau des Merveilles Bleue: a new chapter in the Merveilles constellation. It captures the meeting point of ocean and sky—an olfactory memory of childhood, glittering with innocence, fantasy, and radiant femininity.

OLFACTORY NOTES
Mineral and woody, Eau des Merveilles Bleue Eau de Toilette blends the crisp brightness of juniper berry with the warmth of patchouli and the salty minerality of pebbles on a sunlit shore.

THE BOTTLE
Designed by Serge Mansau, the iconic magnifying-glass bottle sparkles with celestial blue. The spray top is engraved with the Hermès Clou de Selle—a subtle signature of the house.

THE EAU DES MERVEILLES CONSTELLATION
The fourth creation in the Eau des Merveilles constellation, Bleue offers a fresh and unexpected perspective—promising delight, surprise, and luminous freshness.

Olfactory emotion: Fresh, Delicate
Main raw materials: Juniper berry, Patchouli, Mineral stone",
🌿 Un Jardin Sur Le Nil 🍈🌾💧🌿,Hermès,,"Green and watery. Green mango, lotus, soft grapefruit, papyrus, light woods.

This smells like a just-sliced green mango dropped in a river. It opens tart and vegetal—mango rind and grapefruit peel—before softening into watery greens: lotus and papyrus. There’s a faint wet-leaf note, like brushing against foliage at dawn. A little wood anchors it, but it stays light and translucent.

Not sweet. Not creamy. Not floral.

This is gentle, fresh, and green—not loud, not attention-seeking. Like a silent walk along a riverbank at sunrise.

Green luminosity. Dewy stems, wet mango skin, papyrus breeze.

This smells like a watercolor painting of the Nile—fresh fruit, river spray, and pale sunlight filtered through lotus leaves. Lush without being heavy.

It’s not seductive or showy—it’s contemplative, luminous, and quietly alive. Botanical serenity in motion.

Green, watery, exotic and tranquil","Green mango,lotus,grapefruit","green,citrus,aquatic,fruity",Verdant Green & River Jade 🌿💦,"green,citrus,aquatic,fruity",Verdant Green & River Jade 🌿💦,Cool,"Genre: Green Watercolor / Botanical Serenity
Released: 2005
Perfumer: Jean-Claude Ellena

👃 What It Smells Like

- Green mango freshly sliced
- Lotus and papyrus leaves
- Soft grapefruit dew
- Aquatic green stems in morning light
- Imagine a hidden river garden bursting with green life.

Imagine: A river temple half-sunk in water, mango trees dangling over the current, frogs calling in the reeds while the sky turns jade.

H24 succeeds because it feels *alive*: chlorophyll racing through cut stems, metal hiss from a tailor's iron, warm skin under a freshly laundered shirt. It is instantly legible — a clean green signature — but keeps revealing flashes of banana skin, dew and circuitry. Spray it, button your linen, and step into the future — one that still smells faintly of gardens.","Floating gently down a river in a long wooden boat. You reach over the edge to trail your hand through the water, brushing against papyrus reeds. A mango has just been sliced, its tart green aroma mixing with wet leaves and citrus skin. You close your eyes. The only sound is the dip of the oar.

Floating down the Nile at dawn. The breeze carries scents of orchards and wet leaves. A mango just cut open, cool river spray on your face. Everything smells green and alive","🧠 What You Might Think
What You’ll Think: “Fresh. Green. Serene. A garden but not floral.”
Why It Fits: It satisfies your craving for green clarity without heaviness.
Predicted Verdict: A mood-lifter and creative companion. Quietly addicting.

✅ Pros

- Light, clean, and green
- Neither fruity nor floral
- Tranquil and imaginative

⚠️ Cons

- May fade quickly
- Might lack intensity for dramatic moods

•	What you’ll think: “Lush garden breeze by the Nile.”
•	Why it works: Its green mango tang is softened by lotus and light woods. Smells like a tranquil riverbank in bloom.","THE STORY BEHIND
“A new and rather unusual concept of freshness; green and vegetal scents; the smell of water and sand.” —Jean-Claude Ellena

Un Jardin sur le Nil is an impressionistic stroll through the garden islands of the Nile at Aswan—the starting point for a new olfactory journey. At its heart: green mango, lotus, calamus, and sycamore wood—an ode to freshness, both lush and luminous.

As part of the Les Jardins collection, each fragrance offers an olfactory stroll through Hermès’s annual creative themes, bearing witness to true encounters between the Hermès spirit, the soul of a place, and the hand of the perfumer.
CREATION

Launched in 2005, Un Jardin sur le Nil Eau de Toilette invites us on a sensory journey to the verdant islands of Aswan, Egypt. In this composition, perfumer Jean-Claude Ellena evokes the Nile—a river synonymous with abundance, vitality, and life.

OLFACTORY NOTES
Green and woody, Un Jardin sur le Nil pairs the tart brightness of green mango with the softness of lotus and the graceful presence of sycamore wood.

THE OBJECT
Designed by Fred Rawyler, the bottle is inspired by the lines of horse-drawn carriage lanterns. Its glass features a gentle green gradient, echoing the lush banks of the Nile. The box is adorned with a lotus blossom illustration by artist Véronique de Mareuil.

THE PARFUMS-JARDINS COLLECTION
The Parfums-Jardins collection captures the soul of a place, the vision of the perfumer, and the yearly creative theme of the house. These fragrances are sensory journeys—designed to be shared, savored, and explored, fulfilling every longing for freshness, reverie, or escape.

Olfactory emotion: Fresh, Delicate
Main raw materials: Green mango, Lotus, Sycamore wood",
🌿 Un Jardin Sur Le Toit 🌳🍎🌱,Hermès,,"Playful green. Apple peel, crushed herbs, mossy rooftop.

This opens with juicy green apple and a sharp herbal crunch—basil and grass clippings in sunlight. Rose and pear dance lightly in the background, adding a tart-sweet shimmer. The drydown is earthy moss and hay—suggestive of a secret garden on a Parisian rooftop.

Not floral. Not powdery. Not serious.

It’s bright, cheeky, and a little unruly—like a rooftop picnic with stolen fruit and tousled hair.

Green mischief. Urban orchard. Fresh air with attitude.","Apple,pear,magnolia","Grass,basil,rose","Moss,compost,woody notes","green,fruity,aromatic,mossy",Apple Green 🍏,Fresh,"WHAT IT SMELLS LIKE:

- 🍏 Apple skin in warm sunlight
- 🌿 Crushed grass and fresh basil
- 🪵 Damp wood and rooftop moss

Like tiptoeing barefoot through a hidden rooftop garden, stealing a bite of fruit while no one’s watching.","The scent of sun-warmed apples in a pocket during a stroll through rooftop gardens in Paris. Laughter on the breeze, leaves underfoot. A garden party with no rules.",✅ Delightfully green and energetic. Feels like a city escape in a bottle—youthful but natural. A casual daytime favorite.,"THE STORY BEHIND
“A garden that answers to no one—a cheerful garden, watered with light.” —Jean-Claude Ellena

Un Jardin sur le Toit is a vibrant, whimsical novella in scent. It tells the story of a secret rooftop garden nestled in the heart of Paris—perched atop the Hermès building at 24 Rue du Faubourg Saint-Honoré.

An apple tree, a pear tree, a magnolia—and a few mischievous, self-seeded interlopers—bask in the Parisian light, composing a fragrance of joy and spontaneity: playful, radiant, and full of laughter.

Each fragrance in the Les Jardins collection is an olfactory stroll through Hermès’s annual creative themes—encounters between the Hermès spirit, the essence of a place, and the artistry of the perfumer.

CREATION
Created by Jean-Claude Ellena in 2011, Un Jardin sur le Toit Eau de Toilette captures a hidden garden in the heart of Paris—a secluded patch of green perched atop Hermès’ rooftop. This scent pays tribute to a garden of delight and celebration, high above the city’s rhythm.

OLFACTORY NOTES
Fruity and botanical, Un Jardin sur le Toit opens with the crisp freshness of apple and the juiciness of pear, lifted by green vegetal notes that evoke a lively garden in bloom.

THE OBJECT
Designed by Fred Rawyler, the bottle echoes the shape of horse-drawn carriage lanterns. Its glass glows with a luminous, vivid green—fresh and full of life. The box, illustrated by Philippe Dumas (a member of the Hermès family), depicts the rooftop garden and its panoramic view of Paris.

THE PARFUMS-JARDINS COLLECTION
The Parfums-Jardins collection unites the soul of a place, the perfumer’s imagination, and the annual creative theme chosen by Hermès. Each fragrance is a shared journey—an invitation to explore, to dream, and to indulge every longing for freshness, reverie, or escape.

Olfactory emotion: Fresh, Delicate
Main raw materials: Apple tree, Pear tree
",
🌑 Eau de Citron Noir 🕯️🍋🔥,Hermès,,"Charred citrus. Smoked lemon, black tea, earthy woods.

This is not your sparkling lemonade cologne. It opens with darkened lemon—bitter rind and dry smoke—like citrus scorched in a cast-iron pan. The heart brings black tea and spices, grounded and smoky. The base is earthy and mineral, almost ashy.

Not juicy. Not sweet. Not clean.

This is dramatic citrus. A candle-lit citadel of lemon peels and incense.

Think lemon, reimagined as noir.","Black lemon,citrus peel","Smoky tea,guaiac wood","Dry wood,incense,vetiver","citrus,smoky,spicy,dry woody",Charcoal Yellow 🕯️🍂,Warm,"WHAT IT SMELLS LIKE:

- 🍋 Burnt lemon rinds in a fireplace
- 🫖 Lapsang souchong tea and dark spice
- 🔥 Incense ash and charred wood

Like someone zested a lemon into a smoky library during a blackout.","A moment of silence before tea in a Moroccan riad. The air carries echoes of spice, citrus, and a smoky courtyard fire. Evening approaches, and your thoughts begin to settle.","✅ Absolutely your style if you’re craving citrus with gravitas. It’s dry, smoky, and adult—like sipping bitter tea from a metal cup in a dark room lit by firelight.",,
🌊 Un Jardin En Méditerranée 🌿🌾🫒,Hermès,,"Mediterranean breeze. Fig leaf, bitter orange, mineral wood.

This opens with sun-drenched fig and a twist of bitter citrus—lush but restrained. There’s a green-watery translucence from oleander and cypress, while the drydown moves into warm, mineral woods and soft musk.

Not sweet. Not floral. Not tropical.

It smells like sunlight through fig leaves, bare feet on tile, and salt in your hair. Sophisticated and nostalgic.

Coastal stillness. Green clarity. A postcard in scent.","Fig leaf,orange blossom,bergamot","Oleander,cypress,cedar","White musk,pistachio,woods","green,woody,citrus,aquatic",Olive Leaf Green 🫒🌞,Warm,"WHAT IT SMELLS LIKE:

- 🌿 Crushed fig leaves and sunlit dust
- 🍊 Bitter citrus on stone tiles
- 🪵 Olive wood warmed by coastal air

Like wandering through a walled garden above the sea, sun on your neck and salt on your skin.","The scent of summer on a stone terrace in Corsica—fig trees rustling, citrus rind on your fingertips, a breeze carrying memories of the sea.","✅ A near-perfect match. If you love botanical clarity with Mediterranean depth, this is a signature contender—green, grounded, and quietly radiant.","CREATION
The very first fragrance in the Parfums-Jardins collection, Un Jardin en Méditerranée Eau de Toilette was created in 2003. It evokes a stroll through a secret Tunisian garden, lush with trees and flowers. A sensory oasis where scent, sight, and touch converge—an immersive experience composed by Jean-Claude Ellena.

OLFACTORY NOTES
Fruity and woody, Un Jardin en Méditerranée blends the sweetness of fig tree with the green notes of lentisk and the soft floral touch of oleander.

THE OBJECT
Designed by Fred Rawyler, the bottle takes its shape from horse-drawn carriage lanterns. Its glass fades in a delicate blue gradient, echoing the shifting reflections of the Mediterranean Sea. The box, illustrated by artist Aurore de La Morinerie, captures the sun-washed palette of the South of France.

THE PARFUMS-JARDINS COLLECTION
The Parfums-Jardins collection brings together the soul of a place, the vision of the perfumer, and the creative theme chosen each year by Hermès. These are scents for wandering—fragrances to savor, to share, to follow wherever your desire for freshness, reverie, or escape may lead.

Olfactory emotion: Fresh, Delicate
Main raw materials: Fig tree, Green lentisk, Pink laurel",
🍋 Le Jardin de Monsieur Li 🍃🟡🌾,Hermès,,"Quiet introspection. Lemon mist, wet jade, morning air.

This opens with a burst of yellow citrus—sparkling but softened, like a lemon sliced under rain. Green jasmine adds a serene floral breath, while subtle watery notes whisper like mist rising from a koi pond. The finish is mossy, mineral, meditative.

Not sweet. Not loud. Not floral in a traditional sense.

This is stillness. A garden path at dawn. The scent of peace.

Zen citrus. Dewy greens. Air that feels like a sigh.","Kumquat,lemon","Jasmine,watery notes","Moss,bamboo,tea","citrus,green,aquatic,soft floral",Sunlit Jade 💛🌿,Cool,"WHAT IT SMELLS LIKE:

- 🍋 Lemon water in a bamboo bowl
- 🍃 Tea leaves and wet stones
- 💨 Morning fog over temple gardens

Feels like exhaling slowly while sitting cross-legged near a lily pond, just as the sun clears the horizon.","A meditative walk in a Chinese scholar’s garden at dawn. The air smells like lemons steeped in dew, and every step feels intentional. Serene, weightless, grounded.","✅ A beautiful match for your love of green, calm, clean scents. If you like H24’s restraint and aquatic greens, this is a softer, more poetic cousin.","The story behind
“I remembered the scent of ponds, of jasmine, of wet stones. The fragrance of plum trees, kumquats, and towering bamboo. It was all there—and in the ponds, even the carp, steadfast in their journey toward a hundred years.” —Jean-Claude Ellena

Le Jardin de Monsieur Li evokes a Chinese garden suspended between the real and the imaginary—a space for reflection, where each step invites quiet contemplation and sets the imagination free.

Like an olfactory promenade through the house’s seasonal inspirations, the Les Jardins collection reveals true encounters between the spirit of Hermès, the soul of a place, and the vision of its perfumer-composer.


CREATION

Le Jardin de Monsieur Li Eau de Toilette conjures a Chinese garden balanced between reality and imagination—a sanctuary for meditation, where walking and thinking flow together. Perfumer Jean-Claude Ellena weaves a story in scent, where flowers, water, trees, and stones compose a tranquil landscape.

OLFACTORY NOTES
Floral and botanical, Le Jardin de Monsieur Li blends delicate sambac jasmine, tangy kumquat, and radiant bergamot into a seamless, luminous accord.

THE OBJECT
Designed by Fred Rawyler, the bottle draws inspiration from the lanterns of horse-drawn carriages. Its glass shimmers with a gentle yellow gradient, echoing the imperial hue of traditional China. The box, illustrated by artist Li Xin, features a flowing river of ink in layered shades of anthracite.

THE PARFUMS-JARDINS COLLECTION
The Parfums-Jardins collection captures the spirit of a place, the imagination of the perfumer, and the yearly creative theme chosen by Hermès. These are fragrances for wandering—scents to share, to savor, and to escape into, whether you’re seeking freshness, daydreams, or distant horizons.

Olfactory emotion: Fresh, Delicate
Main raw materials: Sambac Jasmine, Kumquat, Bergamot",
🌳 Bvlgari Man Wood Essence 🌿🪵🍋🌞,Bvlgari,,"Green clarity. Lemon zest, cypress, cedar, resinous amber.

This opens like green limoncello poured in a cedar grove—bright citrus with dew-soaked coriander leaves. The heart brings a dry 'forest air' accord of vetiver and cypress, airy but grounded. The drydown turns gently sweet: creamy benzoin and woods that cling softly to fabric.

Not aquatic. Not heavy. Not loud.

This is modern green masculinity—thoughtful, quiet, and grounded. A walk through a cypress forest with polished boots and clean intentions.","Lemon zest,candied citrus,coriander leaf","woody,aromatic green,citrus,soft amber,fresh spicy",Tree-Canopy Green 🌳🌞,"woody,aromatic green,citrus,soft amber,fresh spicy",Tree-Canopy Green 🌳🌞,Warm,"
WHAT IT SMELLS LIKE:

- 🌿 Crushed leaves and sap on warm cedar
- 🪵 Polished wood paneling in a sunlit library
- 🍋 Dry citrus zest flicked into resin
- 🧼 A clean shave and crisp collar before stepping into nature

Feels like slipping away from a boardroom and walking barefoot through a greenhouse—still dressed for the city, but reconnecting with something elemental.

Modern, green, and composed. Less primal forest, more bonsai on a penthouse balcony.",,"•	What you’ll think: “Grounded, elegant, natural.”
•	Why it fits: You like green and wood notes that feel composed and quietly distinctive. This skips sweetness and projects refinement.
•	Predicted verdict: A favorite for daytime. Ideal for office, galleries, forest paths, or thoughtful city walks.","Bvlgari Man Wood Essence epitomises the strong ties between the city and nature, two opposing yet complementary worlds. A woody aromatic fragrance enabling man to unplug from an information-saturated urban life and to reconnect with all that is essential, to be regenerated, to refocus.

An olfactive signature pervaded by a powerful green freshness and exhaling a wood-driven life force. Master Perfumer Alberto Morillas created this scent around a wood trio uniting the finest perfumery essences – cedar, cypress, and vetiver – resonating with the warm and sunny notes of benzoin resins.

The Bvlgari Man Wood Essence bottle mirrors the strength of the wood essences composing it. The bold glass bottle symbolises a sturdy tree trunk. Featuring the amber shades of vetiver, the shimmering metal reflections playing across the cap proudly proclaim the place held by the city in a man’s life.",
